Código;Descripción;Unidad;Sub Grupo;Grupo
1976;EXTENSION DE OXIGENO 7.5 MTS CON CONECTOR;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2494;EXTENSION STANDAR 30.5 CM MIC-KEY P/ALIMENTACION;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2967;EXTINTOR 10 LIBRAS CON BASE SOPORTE RIESGO ABC;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1097;FENITOINA SODICA 250 MG X 1 AMPOLLA;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
2403;FILTRO ALTA EFICIENCIA REF 7093-CB 3M;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1132;FILTRO INTERCAMBIADOR DE HUMEDAD ADULTO INTERSURGICAL;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2183;"FILTRO REPUESTO PARA OZONIZADOR POLYDEPTH 10""";UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2037;FIXODEMA STRETCH 10 X 10;ROLLO;ESPARADRAPOS;MEDICOQUIRURGICOS
1098;FIXOMULL STRETCH 10 CM X10 MT B.S.N;ROLLO;ESPARADRAPOS;MEDICOQUIRURGICOS
1099;FIXOMULL STRETCH 15 CM X 10 MT B.S.N;UNIDAD;ESPARADRAPOS;MEDICOQUIRURGICOS
1102;FIXOMULL STRETCH 5 CM X 10 MT B.S.N.;UNIDAD;ESPARADRAPOS;MEDICOQUIRURGICOS
3103;FLEXOMETRO PROFESIONAL DE 7.5 MT;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2074;FLUJOMETRO PARA OXIGENO C/ADAPTADOR SUN MED;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2857;FOLDERAMA 1.90 MT X 1.05 MT ;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2119;FONENDOSCOPIO PEDIATRICO STARMED;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1416;FONENDOSCOPIO PROFESIONAL LORD HS-30J;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2496;FONENDOSCOPIO PROFESIONAL WELCH ALLYN 901039;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
3841;FORMOL 37% X 1.900 ML;BOTELLA;LABORATORIO;MEDICOQUIRURGICOS
3738;FORMOL 37% X 500 ML;FRASCO;LABORATORIO;MEDICOQUIRURGICOS
2239;FORMULA 55 X 3.785 C.C. AMONIO CUATERNARIO WEST;GALON;LIQUIDOS;MEDICOQUIRURGICOS
2501;FOTOFORO DE LUZ FRIA REF 46070 WELCH ALLYN;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
3048;FOTOFORO LUZ LED 49020 WELCH ALLYN I2;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1435;FRASCO CITOQUIMICO ;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
2993;FRASCO CITOQUIMICO 80 ML;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1436;FRASCO COPROLOGICO;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
